**************** bmn_run479211_raw Chamber 1 primary equalization *******************************

Chamber #1 preliminary channel offsets (average is 4162.954590)
   strip 16 time shift (left+right)/2 = -4.778320
   strip 17 time shift (left+right)/2 = -16.532227
   strip 18 time shift (left+right)/2 = -24.032227
   strip 19 time shift (left+right)/2 = -28.532227
   strip 20 time shift (left+right)/2 = 59.753418
   strip 21 time shift (left+right)/2 = -30.532227
   strip 22 time shift (left+right)/2 = -23.032227
   strip 23 time shift (left+right)/2 = 17.467773
   strip 24 time shift (left+right)/2 = 7.831543
   strip 25 time shift (left+right)/2 = 8.067871
   strip 26 time shift (left+right)/2 = -28.710938
   strip 27 time shift (left+right)/2 = 0.000000
   strip 28 time shift (left+right)/2 = -29.891113
   strip 29 time shift (left+right)/2 = -27.755371
   strip 30 time shift (left+right)/2 = 61.777832
   strip 31 time shift (left+right)/2 = 63.929199
**************** bmn_run479211_raw Chamber 17 primary equalization *******************************

Chamber #17 preliminary channel offsets (average is 4806.854980)
   strip 0 time shift (left+right)/2 = 0.000000
   strip 1 time shift (left+right)/2 = 44.145020
   strip 2 time shift (left+right)/2 = -6.354980
   strip 3 time shift (left+right)/2 = 2.811523
   strip 4 time shift (left+right)/2 = 15.645020
   strip 5 time shift (left+right)/2 = -17.854980
   strip 6 time shift (left+right)/2 = -33.854980
   strip 7 time shift (left+right)/2 = 72.145020
   strip 8 time shift (left+right)/2 = -27.188477
   strip 9 time shift (left+right)/2 = -20.854980
   strip 10 time shift (left+right)/2 = -29.188477
   strip 11 time shift (left+right)/2 = 4.645020
   strip 12 time shift (left+right)/2 = 8.145020
   strip 13 time shift (left+right)/2 = 0.145020
   strip 14 time shift (left+right)/2 = 6.145020
   strip 15 time shift (left+right)/2 = 16.645020
   strip 16 time shift (left+right)/2 = -29.654785
   strip 17 time shift (left+right)/2 = -30.354980
